Nutrient,Baseline MSE,Improved MSE,Baseline RMSE,Improved RMSE,Baseline MAE,Improved MAE,Baseline R2,Improved R2,Baseline MAPE,Improved MAPE,Baseline NRMSE,Improved NRMSE,Baseline NMAE,Improved NMAE,Baseline Norm factor,Improved Norm factor
Overall,11355.364294657049,2143.529417468323,106.56155167159048,46.298265814912796,62.77187373816771,22.285419578341013,0.3088860211902569,0.7857610130993615,29033723671.970146,1563460325.3091736,0.11702734706952683,0.05084538595062052,0.06893692648921454,0.024474151236292863,97.85146050444571,97.85146050444571
Calories,28174.831718771904,7400.214321293224,167.85360204288708,86.02449837862017,138.2764559257174,56.750464517621374,0.35645465816638044,0.8309706513041676,123672321145.16241,6253512955.886108,0.184339111386834,0.09447327549492385,0.15185708677586054,0.06232413289108611,233.32031525568576,233.32031525568576
Mass,28202.209066978296,3117.0049573988263,167.9351335098713,55.830143806001665,149.0633790211848,39.500011775806975,-0.2997391635235518,0.85634836595932,180.7173713504124,30.816171266055452,0.24002391662732023,0.07979610640197188,0.21305116630799834,0.05645600974079177,209.87042857142856,209.87042857142856
Fat,80.16876235156185,41.21031194023152,8.953701042114476,6.419525834532603,7.178320633416217,4.147489587926126,0.5370410554620069,0.7620184974757895,7148228914.172977,409812420.89062196,0.1518781716690068,0.10889193665779548,0.12176307968394003,0.07035226356873138,11.61422783857143,11.61422783857143
Carb,161.41368267413458,78.49343439133516,12.704868463472362,8.859652046854615,9.792938512286993,5.783804875934824,0.3783828178449473,0.6977154185713094,7949419407.476093,715877341.4930797,0.1865347669066492,0.13007872802347475,0.14378137860872753,0.08491868274495894,17.822716278857143,17.822716278857143
Protein,158.19824250937387,80.72406231801283,12.577688281610968,8.984657050662136,9.548274598233133,5.245327134415694,0.5722907380015017,0.7817521321862205,6398648712.321893,438098877.45988667,0.15000565104196253,0.10715397774993284,0.1138758661660793,0.06255749817527834,16.629614577685714,16.629614577685714
